=== Predictions on user test set ===

    inst#     actual  predicted error prediction
    28611        1:?      2:Yes       0.71 
    28612        1:?       1:No       0.9 
    28613        1:?      2:Yes       0.81 
    28614        1:?      2:Yes       0.87 
    28615        1:?       1:No       0.71 
    28616        1:?       1:No       0.64 
    28617        1:?       1:No       0.68 
    28618        1:?      2:Yes       0.74 
    28619        1:?       1:No       0.76 
    28620        1:?      2:Yes       0.54 
    28621        1:?      2:Yes       0.88 
    28622        1:?       1:No       0.76 
    28623        1:?       1:No       0.94 
    28624        1:?      2:Yes       0.99 
    28625        1:?      2:Yes       0.6 
    28626        1:?      2:Yes       1 
    28627        1:?      2:Yes       0.71 
    28628        1:?       1:No       0.9 
    28629        1:?       1:No       0.71 
    28630        1:?       1:No       0.97 
    28631        1:?      2:Yes       0.79 
    28632        1:?       1:No       0.93 
    28633        1:?      2:Yes       0.92 
    28634        1:?       1:No       0.79 
    28635        1:?       1:No       0.57 
    28636        1:?      2:Yes       0.92 
    28637        1:?       1:No       0.82 
    28638        1:?       1:No       0.84 
    28639        1:?       1:No       0.89 
    28640        1:?       1:No       0.88 
    28641        1:?      2:Yes       0.91 
    28642        1:?      2:Yes       0.99 
    28643        1:?       1:No       0.77 
    28644        1:?      2:Yes       0.93 
    28645        1:?       1:No       0.92 
    28646        1:?      2:Yes       0.82 
    28647        1:?      2:Yes       0.75 
    28648        1:?      2:Yes       0.82 
    28649        1:?       1:No       0.85 
    28650        1:?       1:No       0.83 
    28651        1:?      2:Yes       0.98 
    28652        1:?      2:Yes       0.82 
    28653        1:?      2:Yes       0.96 
    28654        1:?       1:No       0.85 
    28655        1:?       1:No       0.81 
    28656        1:?      2:Yes       0.63 
    28657        1:?      2:Yes       0.71 
    28658        1:?       1:No       0.69 
    28659        1:?       1:No       0.68 
    28660        1:?       1:No       0.73 
    28661        1:?      2:Yes       0.98 
    28662        1:?      2:Yes       0.62 
    28663        1:?      2:Yes       0.84 
    28664        1:?       1:No       0.6 
    28665        1:?      2:Yes       0.87 
    28666        1:?       1:No       0.81 
    28667        1:?       1:No       0.63 
    28668        1:?      2:Yes       0.72 
    28669        1:?       1:No       0.7 
    28670        1:?       1:No       0.65 
    28671        1:?      2:Yes       0.89 
    28672        1:?      2:Yes       1 
    28673        1:?      2:Yes       0.68 
    28674        1:?      2:Yes       0.98 
    28675        1:?      2:Yes       0.71 
    28676        1:?       1:No       0.92 
    28677        1:?      2:Yes       0.92 
    28678        1:?       1:No       0.67 
    28679        1:?       1:No       0.77 
    28680        1:?       1:No       0.91 
    28681        1:?      2:Yes       0.98 
    28682        1:?      2:Yes       0.83 
    28683        1:?      2:Yes       0.91 
    28684        1:?      2:Yes       0.82 
    28685        1:?      2:Yes       0.88 
    28686        1:?       1:No       0.84 
    28687        1:?      2:Yes       0.93 
    28688        1:?      2:Yes       0.55 
    28689        1:?      2:Yes       0.97 
    28690        1:?       1:No       0.52 
    28691        1:?       1:No       0.93 
    28692        1:?       1:No       0.67 
    28693        1:?      2:Yes       0.98 
    28694        1:?      2:Yes       0.77 
    28695        1:?       1:No       0.69 
    28696        1:?       1:No       0.73 
    28697        1:?      2:Yes       0.92 
    28698        1:?       1:No       0.54 
    28699        1:?      2:Yes       0.96 
    28700        1:?      2:Yes       0.95 
    28701        1:?      2:Yes       0.93 
    28702        1:?       1:No       0.62 
    28703        1:?       1:No       0.86 
    28704        1:?      2:Yes       0.99 
    28705        1:?      2:Yes       0.57 
    28706        1:?      2:Yes       0.85 
    28707        1:?       1:No       0.58 
    28708        1:?      2:Yes       0.93 
    28709        1:?      2:Yes       0.93 
    28710        1:?      2:Yes       0.84 
    28711        1:?      2:Yes       1 
    28712        1:?      2:Yes       0.87 
    28713        1:?       1:No       0.88 
    28714        1:?       1:No       0.61 
    28715        1:?       1:No       0.92 
    28716        1:?       1:No       0.7 
    28717        1:?       1:No       0.5 
    28718        1:?      2:Yes       0.88 
    28719        1:?      2:Yes       0.76 
    28720        1:?      2:Yes       0.88 
    28721        1:?      2:Yes       0.83 
    28722        1:?       1:No       0.57 
    28723        1:?       1:No       0.87 
    28724        1:?      2:Yes       0.61 
    28725        1:?      2:Yes       0.97 
    28726        1:?       1:No       0.8 
    28727        1:?       1:No       0.98 
    28728        1:?       1:No       0.85 
    28729        1:?      2:Yes       0.99 
    28730        1:?      2:Yes       0.59 
    28731        1:?      2:Yes       0.93 
    28732        1:?      2:Yes       0.76 
    28733        1:?       1:No       0.61 
    28734        1:?       1:No       0.98 
    28735        1:?      2:Yes       0.85 
    28736        1:?      2:Yes       0.75 
    28737        1:?      2:Yes       0.98 
    28738        1:?      2:Yes       0.98 
    28739        1:?       1:No       0.78 
    28740        1:?      2:Yes       0.98 
    28741        1:?      2:Yes       0.96 
    28742        1:?      2:Yes       0.88 
    28743        1:?       1:No       0.85 
    28744        1:?       1:No       0.96 
    28745        1:?      2:Yes       0.94 
    28746        1:?      2:Yes       0.56 
    28747        1:?       1:No       0.81 
    28748        1:?       1:No       0.72 
    28749        1:?      2:Yes       0.75 
    28750        1:?       1:No       0.82 
    28751        1:?      2:Yes       0.94 
    28752        1:?       1:No       0.5 
    28753        1:?      2:Yes       0.85 
    28754        1:?      2:Yes       0.94 
    28755        1:?      2:Yes       1 
    28756        1:?      2:Yes       0.7 
    28757        1:?       1:No       0.88 
    28758        1:?      2:Yes       0.98 
    28759        1:?      2:Yes       1 
    28760        1:?       1:No       0.74 
    28761        1:?      2:Yes       0.78 
    28762        1:?      2:Yes       0.89 
    28763        1:?       1:No       1 
    28764        1:?       1:No       0.81 
    28765        1:?       1:No       0.64 
    28766        1:?      2:Yes       1 
    28767        1:?      2:Yes       0.54 
    28768        1:?       1:No       0.86 
    28769        1:?      2:Yes       0.73 
    28770        1:?      2:Yes       0.72 
    28771        1:?       1:No       0.82 
    28772        1:?      2:Yes       0.84 
    28773        1:?      2:Yes       0.62 
    28774        1:?      2:Yes       0.81 
    28775        1:?       1:No       0.98 
    28776        1:?      2:Yes       0.75 
    28777        1:?      2:Yes       0.89 
    28778        1:?       1:No       0.95 
    28779        1:?      2:Yes       1 
    28780        1:?      2:Yes       1 
    28781        1:?      2:Yes       0.94 
    28782        1:?      2:Yes       0.87 
    28783        1:?      2:Yes       0.86 
    28784        1:?      2:Yes       0.92 
    28785        1:?      2:Yes       0.93 
    28786        1:?      2:Yes       0.81 
    28787        1:?      2:Yes       0.9 
    28788        1:?      2:Yes       0.75 
    28789        1:?       1:No       0.9 
    28790        1:?      2:Yes       0.99 
    28791        1:?      2:Yes       0.87 
    28792        1:?      2:Yes       0.96 
    28793        1:?       1:No       0.72 
    28794        1:?       1:No       0.7 
    28795        1:?       1:No       0.83 
    28796        1:?      2:Yes       0.97 
    28797        1:?      2:Yes       0.53 
    28798        1:?       1:No       0.72 
    28799        1:?      2:Yes       0.78 
    28800        1:?      2:Yes       0.81 
    28801        1:?      2:Yes       0.94 
    28802        1:?       1:No       0.77 
    28803        1:?       1:No       0.76 
    28804        1:?      2:Yes       0.98 
    28805        1:?      2:Yes       1 
    28806        1:?      2:Yes       1 
    28807        1:?      2:Yes       0.53 
    28808        1:?      2:Yes       0.9 
    28809        1:?      2:Yes       0.97 
    28810        1:?      2:Yes       0.99 
    28811        1:?      2:Yes       0.72 
    28812        1:?       1:No       0.75 
    28813        1:?      2:Yes       0.56 
    28814        1:?       1:No       0.67 
    28815        1:?      2:Yes       0.96 
    28816        1:?       1:No       0.67 
    28817        1:?       1:No       0.86 
    28818        1:?       1:No       0.66 
    28819        1:?      2:Yes       0.97 
    28820        1:?       1:No       0.56 
    28821        1:?       1:No       0.74 
    28822        1:?      2:Yes       0.67 
    28823        1:?      2:Yes       0.9 
    28824        1:?      2:Yes       0.87 
    28825        1:?      2:Yes       0.53 
    28826        1:?      2:Yes       0.85 
    28827        1:?      2:Yes       0.81 
    28828        1:?      2:Yes       0.93 
    28829        1:?       1:No       0.84 
    28830        1:?      2:Yes       0.98 
    28831        1:?      2:Yes       0.9 
    28832        1:?      2:Yes       0.76 
    28833        1:?      2:Yes       0.84 
    28834        1:?      2:Yes       0.93 
    28835        1:?      2:Yes       0.69 
    28836        1:?       1:No       0.99 
    28837        1:?      2:Yes       0.82 
    28838        1:?      2:Yes       0.62 
    28839        1:?       1:No       0.7 
    28840        1:?      2:Yes       0.79 
    28841        1:?      2:Yes       0.78 
    28842        1:?       1:No       0.55 
    28843        1:?      2:Yes       0.78 
    28844        1:?       1:No       0.85 
    28845        1:?      2:Yes       0.93 
    28846        1:?      2:Yes       0.94 
    28847        1:?       1:No       0.88 
    28848        1:?      2:Yes       0.72 
    28849        1:?      2:Yes       0.7 
    28850        1:?      2:Yes       0.88 
    28851        1:?       1:No       0.89 
    28852        1:?       1:No       0.91 
    28853        1:?       1:No       0.7 
    28854        1:?       1:No       0.68 
    28855        1:?      2:Yes       0.77 
    28856        1:?      2:Yes       0.72 
    28857        1:?       1:No       0.51 
    28858        1:?      2:Yes       0.69 
    28859        1:?      2:Yes       0.85 
    28860        1:?      2:Yes       0.71 
    28861        1:?       1:No       0.57 
    28862        1:?       1:No       0.88 
    28863        1:?      2:Yes       0.58 
    28864        1:?       1:No       0.7 
    28865        1:?       1:No       0.92 
    28866        1:?      2:Yes       0.94 
    28867        1:?      2:Yes       0.91 
    28868        1:?      2:Yes       0.66 
    28869        1:?       1:No       0.85 
    28870        1:?      2:Yes       0.71 
    28871        1:?      2:Yes       0.54 
    28872        1:?       1:No       0.73 
    28873        1:?      2:Yes       0.63 
    28874        1:?       1:No       0.83 
    28875        1:?      2:Yes       0.97 
    28876        1:?      2:Yes       0.76 
    28877        1:?       1:No       0.81 
    28878        1:?      2:Yes       0.51 
    28879        1:?      2:Yes       0.96 
    28880        1:?      2:Yes       0.7 
    28881        1:?      2:Yes       0.76 
    28882        1:?      2:Yes       0.77 
    28883        1:?       1:No       0.76 
    28884        1:?      2:Yes       0.81 
    28885        1:?       1:No       0.56 
    28886        1:?       1:No       0.58 
    28887        1:?      2:Yes       1 
    28888        1:?      2:Yes       0.63 
    28889        1:?       1:No       0.75 
    28890        1:?      2:Yes       0.51 
    28891        1:?      2:Yes       0.83 
    28892        1:?      2:Yes       0.64 
    28893        1:?      2:Yes       0.86 
    28894        1:?      2:Yes       0.71 
    28895        1:?      2:Yes       0.83 
    28896        1:?      2:Yes       0.94 
    28897        1:?      2:Yes       0.7 
    28898        1:?       1:No       0.98 
    28899        1:?      2:Yes       0.81 
    28900        1:?      2:Yes       0.92 
    28901        1:?      2:Yes       0.83 
    28902        1:?      2:Yes       0.83 
    28903        1:?       1:No       0.68 
    28904        1:?      2:Yes       0.83 
    28905        1:?      2:Yes       0.64 
    28906        1:?      2:Yes       0.85 
    28907        1:?      2:Yes       0.63 
    28908        1:?       1:No       0.9 
    28909        1:?      2:Yes       0.92 
    28910        1:?      2:Yes       0.9 
    28911        1:?      2:Yes       0.77 
    28912        1:?      2:Yes       0.95 
    28913        1:?      2:Yes       0.87 
    28914        1:?       1:No       0.92 
    28915        1:?       1:No       0.79 
    28916        1:?       1:No       0.7 
    28917        1:?       1:No       0.76 
    28918        1:?      2:Yes       0.88 
    28919        1:?      2:Yes       0.78 
    28920        1:?       1:No       0.72 
    28921        1:?       1:No       0.5 
    28922        1:?       1:No       0.64 
    28923        1:?       1:No       0.88 
    28924        1:?       1:No       0.57 
    28925        1:?      2:Yes       0.92 
    28926        1:?      2:Yes       0.89 
    28927        1:?      2:Yes       0.76 
    28928        1:?      2:Yes       0.83 
    28929        1:?      2:Yes       0.75 
    28930        1:?      2:Yes       0.96 
    28931        1:?      2:Yes       0.69 
    28932        1:?       1:No       0.73 
    28933        1:?       1:No       0.9 
    28934        1:?      2:Yes       0.8 
    28935        1:?      2:Yes       0.67 
    28936        1:?       1:No       0.51 
    28937        1:?      2:Yes       0.83 
    28938        1:?      2:Yes       0.68 
    28939        1:?      2:Yes       0.97 
    28940        1:?      2:Yes       0.84 
    28941        1:?      2:Yes       0.76 
    28942        1:?      2:Yes       0.94 
    28943        1:?      2:Yes       0.95 
    28944        1:?       1:No       0.91 
    28945        1:?       1:No       0.77 
    28946        1:?      2:Yes       0.98 
    28947        1:?      2:Yes       0.98 
    28948        1:?       1:No       0.58 
    28949        1:?      2:Yes       0.97 
    28950        1:?      2:Yes       0.71 
    28951        1:?      2:Yes       0.97 
    28952        1:?      2:Yes       0.92 
    28953        1:?       1:No       0.76 
    28954        1:?       1:No       0.56 
    28955        1:?      2:Yes       0.87 
    28956        1:?      2:Yes       0.96 
    28957        1:?      2:Yes       0.66 
    28958        1:?      2:Yes       0.56 
    28959        1:?      2:Yes       0.73 
    28960        1:?      2:Yes       0.99 
    28961        1:?       1:No       0.98 
    28962        1:?      2:Yes       0.68 
    28963        1:?      2:Yes       0.55 
    28964        1:?      2:Yes       0.98 
    28965        1:?      2:Yes       0.91 
    28966        1:?       1:No       0.8 
    28967        1:?       1:No       0.81 
    28968        1:?       1:No       0.7 
    28969        1:?      2:Yes       0.95 
    28970        1:?       1:No       0.84 
    28971        1:?      2:Yes       0.84 
    28972        1:?      2:Yes       0.52 
    28973        1:?       1:No       0.83 
    28974        1:?      2:Yes       0.6 
    28975        1:?       1:No       0.77 
    28976        1:?      2:Yes       0.82 
    28977        1:?      2:Yes       1 
    28978        1:?      2:Yes       0.78 
    28979        1:?      2:Yes       0.98 
    28980        1:?       1:No       0.77 
    28981        1:?      2:Yes       0.9 
    28982        1:?      2:Yes       0.66 
    28983        1:?      2:Yes       0.93 
    28984        1:?      2:Yes       0.66 
    28985        1:?       1:No       0.6 
    28986        1:?      2:Yes       0.9 
    28987        1:?      2:Yes       0.85 
    28988        1:?      2:Yes       0.89 
    28989        1:?      2:Yes       0.76 
    28990        1:?      2:Yes       0.9 
    28991        1:?       1:No       0.51 
    28992        1:?       1:No       0.52 
    28993        1:?      2:Yes       0.68 
    28994        1:?       1:No       0.73 
    28995        1:?       1:No       0.58 
    28996        1:?      2:Yes       0.71 
    28997        1:?      2:Yes       0.64 
    28998        1:?      2:Yes       0.86 
    28999        1:?       1:No       0.75 
    29000        1:?      2:Yes       0.64 
    29001        1:?      2:Yes       0.91 
    29002        1:?      2:Yes       0.92 
    29003        1:?      2:Yes       0.78 
    29004        1:?      2:Yes       0.6 
    29005        1:?      2:Yes       0.78 
    29006        1:?       1:No       0.69 
    29007        1:?       1:No       0.66 
    29008        1:?      2:Yes       0.63 
    29009        1:?      2:Yes       0.66 
    29010        1:?      2:Yes       0.94 
    29011        1:?       1:No       0.83 
    29012        1:?       1:No       0.83 
    29013        1:?       1:No       0.95 
    29014        1:?       1:No       0.72 
    29015        1:?      2:Yes       0.82 
    29016        1:?      2:Yes       0.58 
    29017        1:?      2:Yes       0.71 
    29018        1:?       1:No       0.89 
    29019        1:?      2:Yes       0.87 
    29020        1:?      2:Yes       0.62 
    29021        1:?      2:Yes       0.83 
    29022        1:?       1:No       0.58 
    29023        1:?       1:No       0.7 
    29024        1:?      2:Yes       0.71 
    29025        1:?      2:Yes       0.89 
    29026        1:?      2:Yes       0.58 
    29027        1:?      2:Yes       0.69 
    29028        1:?       1:No       0.71 
    29029        1:?       1:No       0.78 
    29030        1:?       1:No       0.8 
    29031        1:?      2:Yes       0.64 
    29032        1:?       1:No       0.51 
    29033        1:?      2:Yes       0.55 
    29034        1:?       1:No       0.76 
    29035        1:?      2:Yes       0.53 
    29036        1:?       1:No       0.6 
    29037        1:?      2:Yes       0.83 
    29038        1:?      2:Yes       0.92 
    29039        1:?       1:No       0.81 
    29040        1:?      2:Yes       0.78 
    29041        1:?      2:Yes       0.96 
    29042        1:?      2:Yes       0.7 
    29043        1:?      2:Yes       0.58 
    29044        1:?      2:Yes       0.86 
    29045        1:?      2:Yes       0.88 
    29046        1:?      2:Yes       0.65 
    29047        1:?       1:No       0.61 
    29048        1:?      2:Yes       0.82 
    29049        1:?      2:Yes       0.92 
    29050        1:?      2:Yes       0.71 
    29051        1:?      2:Yes       0.83 
    29052        1:?      2:Yes       0.59 
    29053        1:?       1:No       0.98 
    29054        1:?      2:Yes       0.52 
    29055        1:?      2:Yes       0.66 
    29056        1:?       1:No       0.73 
    29057        1:?       1:No       0.73 
    29058        1:?       1:No       0.55 
    29059        1:?       1:No       0.88 
    29060        1:?       1:No       0.72 
    29061        1:?      2:Yes       0.91 
    29062        1:?       1:No       0.89 
    29063        1:?      2:Yes       0.94 
    29064        1:?      2:Yes       0.85 
    29065        1:?      2:Yes       0.61 
    29066        1:?       1:No       0.95 
    29067        1:?      2:Yes       0.9 
    29068        1:?      2:Yes       0.86 
    29069        1:?       1:No       0.69 
    29070        1:?      2:Yes       0.55 
    29071        1:?      2:Yes       0.88 
    29072        1:?      2:Yes       0.96 
    29073        1:?      2:Yes       0.78 
    29074        1:?       1:No       0.74 
    29075        1:?       1:No       0.72 
    29076        1:?      2:Yes       0.77 
    29077        1:?      2:Yes       0.93 
    29078        1:?      2:Yes       0.84 
    29079        1:?      2:Yes       0.77 
    29080        1:?      2:Yes       0.77 
    29081        1:?       1:No       0.87 
    29082        1:?       1:No       0.9 
    29083        1:?      2:Yes       0.96 
    29084        1:?       1:No       0.78 
    29085        1:?       1:No       0.67 
    29086        1:?      2:Yes       0.53 
    29087        1:?      2:Yes       0.82 
    29088        1:?      2:Yes       0.7 
    29089        1:?      2:Yes       0.91 
    29090        1:?       1:No       0.87 
    29091        1:?      2:Yes       0.93 
    29092        1:?      2:Yes       0.59 
    29093        1:?       1:No       0.52 
    29094        1:?      2:Yes       0.72 
    29095        1:?      2:Yes       0.71 
    29096        1:?      2:Yes       0.92 
    29097        1:?      2:Yes       0.77 
    29098        1:?       1:No       0.64 
    29099        1:?      2:Yes       0.91 
    29100        1:?      2:Yes       0.91 
    29101        1:?      2:Yes       0.97 
    29102        1:?      2:Yes       0.89 
    29103        1:?      2:Yes       0.55 
    29104        1:?      2:Yes       0.98 
    29105        1:?      2:Yes       0.53 
    29106        1:?      2:Yes       0.79 
    29107        1:?      2:Yes       0.93 
    29108        1:?      2:Yes       0.53 
    29109        1:?       1:No       0.93 
    29110        1:?       1:No       0.52 
    29111        1:?       1:No       0.86 
    29112        1:?      2:Yes       0.58 
    29113        1:?      2:Yes       0.88 
    29114        1:?      2:Yes       0.99 
    29115        1:?      2:Yes       0.83 
    29116        1:?       1:No       0.63 
    29117        1:?      2:Yes       1 
    29118        1:?      2:Yes       0.84 
    29119        1:?       1:No       0.75 
    29120        1:?      2:Yes       0.85 
    29121        1:?      2:Yes       0.95 
    29122        1:?      2:Yes       0.97 
    29123        1:?      2:Yes       0.98 
    29124        1:?      2:Yes       0.95 
    29125        1:?       1:No       0.78 
    29126        1:?       1:No       0.78 
    29127        1:?      2:Yes       0.61 
    29128        1:?      2:Yes       0.81 
    29129        1:?      2:Yes       0.68 
    29130        1:?      2:Yes       0.61 
    29131        1:?      2:Yes       0.96 
    29132        1:?      2:Yes       0.59 
    29133        1:?       1:No       0.74 
    29134        1:?      2:Yes       0.59 
    29135        1:?       1:No       0.89 
    29136        1:?       1:No       0.84 
    29137        1:?       1:No       0.55 
    29138        1:?      2:Yes       0.58 
    29139        1:?       1:No       0.92 
    29140        1:?      2:Yes       0.96 
    29141        1:?      2:Yes       0.89 
    29142        1:?      2:Yes       0.82 
    29143        1:?       1:No       0.92 
    29144        1:?       1:No       0.83 
    29145        1:?      2:Yes       0.88 
    29146        1:?      2:Yes       0.87 
    29147        1:?       1:No       0.5 
    29148        1:?       1:No       0.93 
    29149        1:?      2:Yes       0.77 
    29150        1:?      2:Yes       0.98 
    29151        1:?      2:Yes       0.73 
    29152        1:?       1:No       0.63 
    29153        1:?       1:No       0.61 
    29154        1:?      2:Yes       0.61 
    29155        1:?      2:Yes       0.88 
    29156        1:?       1:No       0.78 
    29157        1:?       1:No       0.67 
    29158        1:?      2:Yes       0.74 
    29159        1:?      2:Yes       0.72 
    29160        1:?      2:Yes       0.66 
    29161        1:?       1:No       0.61 
    29162        1:?      2:Yes       0.83 
    29163        1:?      2:Yes       0.77 
    29164        1:?       1:No       0.81 
    29165        1:?      2:Yes       1 
    29166        1:?       1:No       0.67 
    29167        1:?      2:Yes       0.87 
    29168        1:?      2:Yes       0.86 
    29169        1:?      2:Yes       0.68 
    29170        1:?      2:Yes       0.59 
    29171        1:?      2:Yes       0.71 
    29172        1:?       1:No       0.54 
    29173        1:?      2:Yes       0.85 
    29174        1:?      2:Yes       0.88 
    29175        1:?      2:Yes       0.91 
    29176        1:?      2:Yes       0.84 
    29177        1:?      2:Yes       0.95 
    29178        1:?      2:Yes       0.6 
    29179        1:?       1:No       0.69 
    29180        1:?      2:Yes       0.88 
    29181        1:?      2:Yes       0.89 
    29182        1:?      2:Yes       0.78 
    29183        1:?      2:Yes       0.85 
    29184        1:?       1:No       0.62 
    29185        1:?      2:Yes       0.64 
    29186        1:?      2:Yes       0.77 
    29187        1:?       1:No       0.64 
    29188        1:?       1:No       0.98 
    29189        1:?       1:No       0.88 
    29190        1:?      2:Yes       0.64 
    29191        1:?      2:Yes       0.84 
    29192        1:?      2:Yes       0.88 
    29193        1:?      2:Yes       0.66 
    29194        1:?      2:Yes       0.92 
    29195        1:?      2:Yes       0.86 
    29196        1:?      2:Yes       0.94 
    29197        1:?      2:Yes       0.8 
    29198        1:?      2:Yes       0.85 
    29199        1:?       1:No       0.89 
    29200        1:?       1:No       0.61 
    29201        1:?      2:Yes       0.8 
    29202        1:?      2:Yes       0.94 
    29203        1:?      2:Yes       0.64 
    29204        1:?       1:No       0.6 
    29205        1:?       1:No       0.93 
    29206        1:?      2:Yes       0.65 
    29207        1:?      2:Yes       0.97 
    29208        1:?      2:Yes       0.71 
    29209        1:?       1:No       0.89 
    29210        1:?      2:Yes       0.93 
    29211        1:?       1:No       0.54 
    29212        1:?      2:Yes       0.85 
    29213        1:?      2:Yes       0.75 
    29214        1:?      2:Yes       0.95 
    29215        1:?      2:Yes       0.95 
    29216        1:?      2:Yes       0.8 
    29217        1:?       1:No       0.53 
    29218        1:?      2:Yes       0.58 
    29219        1:?      2:Yes       0.52 
    29220        1:?      2:Yes       0.59 
    29221        1:?      2:Yes       0.71 
    29222        1:?      2:Yes       0.91 
    29223        1:?       1:No       0.97 
    29224        1:?      2:Yes       0.96 
    29225        1:?      2:Yes       0.96 
    29226        1:?      2:Yes       0.92 
    29227        1:?      2:Yes       0.92 
    29228        1:?      2:Yes       0.8 
    29229        1:?      2:Yes       0.9 
    29230        1:?      2:Yes       0.84 
    29231        1:?      2:Yes       0.51 
    29232        1:?       1:No       0.55 
    29233        1:?      2:Yes       0.54 
    29234        1:?       1:No       0.53 
    29235        1:?      2:Yes       0.72 
    29236        1:?      2:Yes       0.55 
    29237        1:?       1:No       0.79 
    29238        1:?      2:Yes       0.85 
    29239        1:?       1:No       0.92 
    29240        1:?      2:Yes       0.72 
    29241        1:?       1:No       0.62 
    29242        1:?      2:Yes       0.58 
    29243        1:?      2:Yes       0.91 
    29244        1:?      2:Yes       0.96 
    29245        1:?      2:Yes       0.58 
    29246        1:?       1:No       0.8 
    29247        1:?      2:Yes       0.94 
    29248        1:?       1:No       0.88 
    29249        1:?      2:Yes       0.98 
    29250        1:?      2:Yes       0.58 
    29251        1:?      2:Yes       0.67 
    29252        1:?      2:Yes       0.62 
    29253        1:?      2:Yes       0.93 
    29254        1:?       1:No       0.72 
    29255        1:?      2:Yes       0.68 
    29256        1:?      2:Yes       0.9 
    29257        1:?      2:Yes       0.74 
    29258        1:?       1:No       0.52 
    29259        1:?       1:No       0.98 
    29260        1:?      2:Yes       0.51 
    29261        1:?      2:Yes       0.57 
    29262        1:?       1:No       0.66 
    29263        1:?      2:Yes       0.74 
    29264        1:?       1:No       0.71 
    29265        1:?       1:No       0.71 
    29266        1:?      2:Yes       0.85 
    29267        1:?      2:Yes       0.9 
    29268        1:?       1:No       0.88 
    29269        1:?      2:Yes       0.77 
    29270        1:?       1:No       0.92 
    29271        1:?      2:Yes       0.91 
    29272        1:?      2:Yes       0.82 
    29273        1:?      2:Yes       0.92 
    29274        1:?       1:No       0.91 
    29275        1:?      2:Yes       0.62 
    29276        1:?      2:Yes       0.81 
    29277        1:?       1:No       0.87 
    29278        1:?      2:Yes       0.95 
    29279        1:?      2:Yes       0.9 
    29280        1:?      2:Yes       0.94 
    29281        1:?      2:Yes       0.59 
    29282        1:?      2:Yes       0.9 
    29283        1:?      2:Yes       0.83 
    29284        1:?      2:Yes       0.98 
    29285        1:?       1:No       0.87 
    29286        1:?      2:Yes       0.92 
    29287        1:?      2:Yes       0.87 
    29288        1:?      2:Yes       0.82 
    29289        1:?      2:Yes       0.62 
    29290        1:?      2:Yes       0.92 
    29291        1:?      2:Yes       0.78 
    29292        1:?       1:No       0.51 
    29293        1:?      2:Yes       0.75 
    29294        1:?       1:No       0.75 
    29295        1:?      2:Yes       0.65 
    29296        1:?      2:Yes       0.82 
    29297        1:?       1:No       0.52 
    29298        1:?      2:Yes       0.53 
    29299        1:?      2:Yes       0.79 
    29300        1:?       1:No       0.66 
    29301        1:?      2:Yes       0.66 
    29302        1:?       1:No       0.65 
    29303        1:?      2:Yes       0.85 
    29304        1:?      2:Yes       0.64 
    29305        1:?      2:Yes       0.82 
    29306        1:?      2:Yes       0.54 
    29307        1:?      2:Yes       0.92 
    29308        1:?      2:Yes       0.94 
    29309        1:?       1:No       0.7 
    29310        1:?      2:Yes       0.95 
    29311        1:?      2:Yes       0.69 
    29312        1:?      2:Yes       0.71 
    29313        1:?      2:Yes       0.78 
    29314        1:?      2:Yes       0.96 
    29315        1:?      2:Yes       0.95 
    29316        1:?      2:Yes       0.53 
    29317        1:?      2:Yes       0.85 
    29318        1:?      2:Yes       0.97 
    29319        1:?      2:Yes       0.9 
    29320        1:?      2:Yes       0.86 
    29321        1:?      2:Yes       0.94 
    29322        1:?      2:Yes       0.89 
    29323        1:?      2:Yes       1 
    29324        1:?      2:Yes       0.6 
    29325        1:?       1:No       0.75 
    29326        1:?       1:No       0.56 
    29327        1:?       1:No       0.52 
    29328        1:?      2:Yes       0.97 
    29329        1:?      2:Yes       0.73 
    29330        1:?      2:Yes       0.67 
    29331        1:?      2:Yes       0.59 
    29332        1:?      2:Yes       0.56 
    29333        1:?      2:Yes       0.65 
    29334        1:?       1:No       0.68 
    29335        1:?      2:Yes       0.68 
    29336        1:?       1:No       0.99 
    29337        1:?      2:Yes       0.97 
    29338        1:?      2:Yes       0.87 
    29339        1:?      2:Yes       0.6 
    29340        1:?      2:Yes       0.71 
    29341        1:?      2:Yes       0.94 
    29342        1:?      2:Yes       0.74 
    29343        1:?      2:Yes       0.92 
    29344        1:?      2:Yes       0.84 
    29345        1:?      2:Yes       0.67 
    29346        1:?       1:No       0.53 
    29347        1:?      2:Yes       0.95 
    29348        1:?      2:Yes       0.51 
    29349        1:?      2:Yes       0.95 
    29350        1:?       1:No       0.76 
    29351        1:?      2:Yes       0.94 
    29352        1:?      2:Yes       0.6 
    29353        1:?      2:Yes       0.97 
    29354        1:?      2:Yes       0.76 
    29355        1:?      2:Yes       0.84 
    29356        1:?      2:Yes       0.92 
    29357        1:?       1:No       0.71 
    29358        1:?       1:No       0.94 
    29359        1:?      2:Yes       0.91 
    29360        1:?       1:No       0.91 
    29361        1:?       1:No       0.93 
    29362        1:?      2:Yes       0.67 
    29363        1:?      2:Yes       1 
    29364        1:?      2:Yes       0.61 
    29365        1:?      2:Yes       0.87 
    29366        1:?      2:Yes       0.85 
    29367        1:?      2:Yes       0.73 
    29368        1:?       1:No       0.84 
    29369        1:?      2:Yes       0.58 
    29370        1:?      2:Yes       0.65 
    29371        1:?      2:Yes       0.95 
    29372        1:?      2:Yes       0.56 
    29373        1:?      2:Yes       0.77 
